"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
3,0.57,0.057,0.8,4,0.4,0.63,8,0.0231,7056900
3,0.65,0.057,0.8,4,0.2,0.63,8,0.0226,7135500
3,0.57,0.057,0.7,2,0.4,0.54,9,0.0236,7126800
36,0.57,0.057,0.8,4,0.4,0.63,9,0.0166,6504900
3,0.57,0.057,0.8,2,0.4,0.57,9,0.0263,7079400
3,0.57,0.057,0.5,4,0.4,0.63,9,0.0216,7066800
3,0.57,0.057,0.8,4,0.4,0.64,9,0.0218,7023900
3,0.57,0.057,0.8,3,0.4,0.63,9,0.0226,7021200
3,0.65,0.057,0.8,4,0.2,0.6,9,0.0211,7080600
3,0.57,0.057,0.8,7,0.4,0.64,9,0.0232,7003800
3,0.57,0.057,0.7,4,0.4,0.63,9,0.0251,7055100
3,0.57,0.057,0.8,4,0.4,0.61,9,0.0206,7056000
3,0.57,0.057,0.7,2,0.4,0.63,9,0.0234,7094700
3,0.57,0.057,0.8,2,0.4,0.51,10,0.0208,7049100
3,0.65,0.316,0.7,4,0.2,0.54,10,0.0279,6480300
3,0.57,0.057,0.8,2,0.4,0.63,10,0.0229,7057200
3,0.65,0.185,0.7,4,0.2,0.6,10,0.0245,6951600
3,0.64,0.057,0.7,2,0.4,0.6,10,0.021,7074600
30,0.65,0.057,0.8,4,0.2,0.63,10,0.0162,6778800
3,0.57,0.057,0.8,2,0.6,0.54,10,0.0198,7085700
3,0.65,0.057,0.7,3,0.2,0.6,10,0.0222,7110900
3,0.65,0.057,0.8,4,0.2,0.63,10,0.0202,7069200
3,0.57,0.057,0.7,2,0.4,0.63,10,0.0241,7083300
3,0.65,0.057,0.8,4,0.2,0.6,10,0.022,7038900
3,0.57,0.056,0.7,2,0.6,0.54,11,0.0238,7077900
22,0.57,0.057,0.8,2,0.4,0.63,11,0.0145,6471900
3,0.65,0.057,0.7,3,0.8,0.6,11,0.023,7058100
3,0.57,0.445,0.7,2,0.4,0.63,11,0.0202,5600700
3,0.52,0.057,0.7,3,0.2,0.63,11,0.0224,7110000
3,0.52,0.057,0.7,2,0.4,0.6,11,0.0228,7083600
3,0.57,0.405,0.7,2,0.6,0.63,11,0.0194,5813700
3,0.57,0.057,0.8,2,0.4,0.61,11,0.0252,7074600
3,0.65,0.057,0.7,3,0.4,0.6,11,0.0204,7072200
3,0.55,0.057,0.7,3,0.2,0.63,11,0.0192,7067100
