"max_depth","lambda","eta","subsample","min_child_weight","colsample_bytree","alpha","gen","prob_corte","fitness"
32,0.54,0.019,0.6,6,0.2,0.56,35,0.0331,7233000
5,0.54,0.019,0.7,9,0.2,0.56,35,0.0302,7137900
5,0.59,0.019,0.6,1,0.2,0.56,35,0.0313,7155000
5,0.53,0.179,0.9,6,0.2,0.56,35,0.0202,6704100
5,0.54,0.019,0.6,6,0.2,0.56,35,0.0303,7180500
5,0.53,0.019,0.9,1,0.2,0.56,35,0.0286,7153800
32,0.54,0.019,0.6,7,0.2,0.56,36,0.0322,7225800
5,0.54,0.019,0.8,6,0.2,0.56,36,0.0294,7176600
5,0.54,0.019,0.7,1,0.2,0.63,36,0.0314,7143300
32,0.54,0.019,0.6,6,0.2,0.55,36,0.0326,7185900
5,0.54,0.019,0.7,6,0.2,0.56,36,0.0318,7134900
32,0.54,0.019,0.7,1,0.2,0.57,36,0.0314,7093800
5,0.54,0.019,0.6,1,0.2,0.57,36,0.0296,7135200
32,0.59,0.019,0.7,6,0.2,0.56,36,0.0365,7160700
32,0.54,0.019,0.6,6,0.2,0.54,36,0.0323,7139700
5,0.54,0.019,0.6,1,0.2,0.55,36,0.0297,7128600
32,0.54,0.019,0.6,6,0.2,0.56,36,0.0308,7093500
5,0.54,0.019,0.7,1,0.2,0.55,36,0.0301,7164900
32,0.54,0.019,0.8,6,0.2,0.57,37,0.0297,7108200
39,0.54,0.019,0.6,7,0.2,0.56,37,0.0327,7150500
32,0.54,0.019,0.8,7,0.2,0.59,37,0.0326,7139400
5,0.54,0.019,0.6,6,0.8,0.56,37,0.0342,7100400
5,0.54,0.016,0.6,7,0.2,0.56,37,0.042,7122900
32,0.54,0.019,0.8,5,0.2,0.56,37,0.031,7094400
32,0.54,0.368,0.6,7,0.2,0.55,37,0.0085,4251300
32,0.54,0.019,0.6,6,0.2,0.53,37,0.0341,7210200
5,0.54,0.019,0.6,6,0.2,0.56,37,0.0318,7150200
11,0.54,0.019,0.8,6,0.2,0.56,37,0.0304,7223400
5,0.54,0.019,0.8,6,0.2,0.56,37,0.032,7146600
32,0.54,0.019,0.6,7,0.2,0.56,37,0.0313,7162500
34,0.54,0.019,0.6,7,0.2,0.56,38,0.0313,7127100
32,0.54,0.019,0.7,6,0.2,0.56,38,0.0327,7140600
32,0.54,0.019,0.6,6,0.5,0.56,38,0.034,7035300
32,0.54,0.019,0.6,7,0.2,0.53,38,0.0351,7075800
41,0.54,0.019,0.8,7,0.2,0.56,38,0.0296,7083600
32,0.54,0.443,0.6,6,0.2,0.56,38,0.0051,4302300
32,0.54,0.019,0.6,7,0.4,0.56,38,0.0342,7088100
32,0.54,0.019,0.6,6,0.8,0.53,38,0.0342,6985800
11,0.54,0.019,0.6,6,0.2,0.54,38,0.0335,7159200
13,0.54,0.019,0.8,6,0.2,0.53,38,0.034,7221600
11,0.54,0.019,0.8,6,0.2,0.56,38,0.0312,7149000
32,0.54,0.019,0.6,6,0.2,0.53,38,0.0306,7114800
