Feature	Gain	Cover	Frequency
mrentabilidad__min	0.0021871199933504	NA	0.00467181467181467
Master_Fvencimiento	0.00218667822513294	NA	0.00505791505791506
mautoservicio	0.00216532673836091	NA	0.00204633204633205
Visa_msaldopesos__min	0.00216263867806258	NA	0.00386100386100386
mactivos_margen	0.00216012416532282	NA	0.00393822393822394
tplan_sueldo__tend	0.00215054849220281	NA	0.00266409266409266
Visa_mpagominimo__max	0.00212405694058195	NA	0.00424710424710425
thomebanking__tend	0.00211902337317048	NA	0.00216216216216216
mcomisiones_mantenimiento__tend	0.0020996078906174	NA	0.00455598455598456
mttarjeta_visa_debitos_automaticos__max	0.00208101309701766	NA	0.00424710424710425
Visa_mpagospesos__max	0.00206432708951599	NA	0.00393822393822394
Master_mpagominimo	0.00203257007977821	NA	0.00378378378378378
mcuenta_debitos_automaticos	0.00202970998658639	NA	0.0028957528957529
Visa_cuenta_estado__tend	0.0020100352606363	NA	0.00181467181467181
ttarjeta_visa_debitos_automaticos__max	0.00199087459394481	NA	0.00305019305019305
tcaja_ahorro	0.00196848958519629	NA	0.00266409266409266
cliente_antiguedad	0.00196262639352261	NA	0.00428571428571429
ccomisiones_otras__tend	0.00194359840067029	NA	0.00277992277992278
mpagomiscuentas	0.00192247611960941	NA	0.00239382239382239
cprestamos_personales__max	0.00191883473732535	NA	0.00277992277992278
Visa_fechaalta	0.00189456581306367	NA	0.00498069498069498
mrentabilidad_annual__min	0.00186781992471697	NA	0.00478764478764479
Master_fechaalta__min	0.00186255862063835	NA	0.00528957528957529
mcomisiones__max	0.00183685346652227	NA	0.00478764478764479
Visa_Fvencimiento	0.00182342621907305	NA	0.00517374517374517
Visa_msaldopesos__tend	0.00177956484426643	NA	0.00416988416988417
mrentabilidad_annual__max	0.00177537484786516	NA	0.00432432432432432
Visa_mpagospesos__tend	0.00177351450078803	NA	0.00355212355212355
Visa_mlimitecompra	0.0017253374767993	NA	0.00393822393822394
ttarjeta_visa__max	0.00168882304599393	NA	0.000154440154440154
cliente_edad__max	0.00167564938194991	NA	0.00567567567567568
mcomisiones_otras	0.00166101961836016	NA	0.00308880308880309
Master_cuenta_estado__tend	0.00164399998335359	NA	0.0011969111969112
Visa_msaldototal__max	0.0016277801786178	NA	0.00343629343629344
Visa_tconsumos__max	0.00160263810622646	NA	0.00482625482625483
Master_msaldototal	0.00158827131068382	NA	0.00347490347490347
mcomisiones__tend	0.00157502035722687	NA	0.00281853281853282
cliente_antiguedad__max	0.00155248161375674	NA	0.00370656370656371
mcheques_emitidos_rechazados__max	0.00152767163150932	NA	0.00243243243243243
mcomisiones	0.00150646649939263	NA	0.00208494208494208
